date,variable,value
2015-10-11,bikini,21
2015-10-18,bikini,22
2015-10-25,bikini,22
2015-11-01,bikini,20
2015-11-08,bikini,20
2015-11-15,bikini,21
2015-11-22,bikini,35
2015-11-29,bikini,20
2015-12-06,bikini,20
2015-12-13,bikini,21
2015-12-20,bikini,21
2015-12-27,bikini,19
2016-01-03,bikini,20
2016-01-10,bikini,19
2016-01-17,bikini,24
2016-01-24,bikini,23
2016-01-31,bikini,25
2016-02-07,bikini,22
2016-02-14,bikini,25
2016-02-21,bikini,25
2016-02-28,bikini,27
2016-03-06,bikini,31
2016-03-13,bikini,25
2016-03-20,bikini,29
2016-03-27,bikini,27
2016-04-03,bikini,30
2016-04-10,bikini,31
2016-04-17,bikini,35
2016-04-24,bikini,35
2016-05-01,bikini,35
2016-05-08,bikini,37
2016-05-15,bikini,36
2016-05-22,bikini,38
2016-05-29,bikini,45
2016-06-05,bikini,45
2016-06-12,bikini,61
2016-06-19,bikini,79
2016-06-26,bikini,81
2016-07-03,bikini,90
2016-07-10,bikini,80
2016-07-17,bikini,57
2016-07-24,bikini,68
2016-07-31,bikini,68
2016-08-07,bikini,63
2016-08-14,bikini,53
2016-08-21,bikini,44
2016-08-28,bikini,45
2016-09-04,bikini,34
2016-09-11,bikini,32
2016-09-18,bikini,27
2016-09-25,bikini,21
2016-10-02,bikini,21
2016-10-09,bikini,20
2016-10-16,bikini,21
2016-10-23,bikini,21
2016-10-30,bikini,18
2016-11-06,bikini,18
2016-11-13,bikini,19
2016-11-20,bikini,19
2016-11-27,bikini,21
2016-12-04,bikini,17
2016-12-11,bikini,17
2016-12-18,bikini,18
2016-12-25,bikini,18
2017-01-01,bikini,18
2017-01-08,bikini,20
2017-01-15,bikini,25
2017-01-22,bikini,27
2017-01-29,bikini,28
2017-02-05,bikini,28
2017-02-12,bikini,23
2017-02-19,bikini,23
2017-02-26,bikini,25
2017-03-05,bikini,26
2017-03-12,bikini,27
2017-03-19,bikini,28
2017-03-26,bikini,26
2017-04-02,bikini,30
2017-04-09,bikini,29
2017-04-16,bikini,32
2017-04-23,bikini,31
2017-04-30,bikini,34
2017-05-07,bikini,33
2017-05-14,bikini,36
2017-05-21,bikini,39
2017-05-28,bikini,42
2017-06-04,bikini,52
2017-06-11,bikini,64
2017-06-18,bikini,70
2017-06-25,bikini,100
2017-07-02,bikini,97
2017-07-09,bikini,82
2017-07-16,bikini,72
